Title, Torrent
The Many Adventures of Winnie the Pooh (1977),magnet:?xt=urn:btih:ab0e768cda664ee188e8c9db40a8d249151dc246&dn=The.Many.Adventures.of.Winnie.the.Pooh.1977.1080p.BluRay.X264-AMIABLE&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Rescuers (1977),magnet:?xt=urn:btih:df3f1893a480c68ff7efd61ce0c79313e6ab2736&dn=The.Rescuers.1977.1080p.BluRay.X264-AMIABLE&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Fox and the Hound (1981),magnet:?xt=urn:btih:b193ba20f669f4727b3212d726c56af985ccebff&dn=The.Fox.and.the.Hound.1981.1080p.BluRay.X264-AMIABLE&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Black Cauldron (1985),magnet:?xt=urn:btih:90820d4de6dd6dec6ece5f448434ed2fda7f4fdf&dn=The.Black.Cauldron.1985.1080p.WEBRip.DD5.1.x264-FGT&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Great Mouse Detective (1986),magnet:?xt=urn:btih:f3b45a92e8985ae967d21e6e10ccc087f31d0e8b&dn=The.Adventures.of.The.Great.Mouse.Detective.1986.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Oliver & Company (1988),magnet:?xt=urn:btih:223b8ca88709d0b900b599d2f6e7b689e157d1cf&dn=Oliver.and.Company.1988.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Little Mermaid (1989),magnet:?xt=urn:btih:8510b8e9c0266b8c2a51c7cc0bfed96a1598dce3&dn=The.Little.Mermaid.1989.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Rescuers Down Under (1990),magnet:?xt=urn:btih:76c8016587f587ec6b0107de07cd06862a3fb07d&dn=The.Rescuers.Down.Under.1990.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Beauty and the Beast (1991),magnet:?xt=urn:btih:0d7526111b99e70cb0e2184db15cd2d62d0d876b&dn=Beauty.And.The.Beast.1991.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Aladdin (1992),magnet:?xt=urn:btih:d5578c9b3abf5725c3a38b345ab1f4980cfe9325&dn=Aladdin.1992.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
